"","sp","lon","lat","sol","PNZ1"
"127","Zea mays",-92.0992225,15.984309,8,3168
"128","Zea mays",-87.02708,14.638033,9,3191
"129","Zea mays",-89.880527,14.902827,8,4411
"130","Zea mays",-89.55933,14.9483,8,4411
"131","Zea mays",-89.367104,15.115625,9,4411
"132","Zea mays",-89.428169,14.762413,9,4212
"133","Zea mays",-90.637606,14.713922,2,6326
"134","Zea mays",-98.8167,21.5667,9,3820
"135","Zea mays",-89.510475,14.908968,8,4411
"136","Zea mays",-89.963493,14.94666,9,4018
"137","Zea mays",-66.36666667,18.08333333,9,1306
"138","Zea mays",-89.8,15.1,9,4018
"139","Zea mays",-89.41666667,14.95,8,4411
"140","Zea mays",-98.746052,21.26317,9,3820
"141","Zea mays",-76.43333333,20.38333333,9,3591
"142","Zea mays",-99.015491,21.951043,9,3690
"143","Zea mays",-89.484052,20.734106,8,4520
"144","Zea mays",-66.158868,18.061361,9,2273
"145","Zea mays",-66.399305,18.059362,9,1306
"146","Zea mays",-65.741368,18.190513,9,3651
"147","Zea mays",-60.624146,11.217382,11,3406
"148","Zea mays",-89.483888,20.734108,8,4520
"149","Zea mays",-59.55,13.15,8,3547
"150","Zea mays",-105.177805,21.847885,8,3932
"151","Zea mays",-92.0992225,15.984309,8,3168
"152","Zea mays",-89.579005,14.71581,9,4212
"153","Zea mays",-89.718358,14.657373,9,4212
"154","Zea mays",-89.533421,14.620613,9,4212
"155","Zea mays",-98.416667,21.15,9,3820
"156","Zea mays",-92.21666667,15.7,8,3518
"157","Zea mays",-93.1,16.61666667,9,3168
"158","Zea mays",-105.4666667,22.4,11,3415
"159","Zea mays",-99.614777,26.888903,8,2846
"160","Zea mays",-76.95,20.3,8,3211
"161","Zea mays",-75.98333333,20.25,8,3211
"162","Zea mays",-76.894138,20.333221,8,3211
"163","Zea mays",-76.11666667,20.61666667,8,3211
"164","Zea mays",-76.43333333,20.38333333,9,3591
"165","Zea mays",-76.95,20.3,8,3211
"166","Zea mays",-76.61666667,21.2,8,3211
"167","Zea mays",-76.95,20.3,8,3211
"168","Zea mays",-76.927588,21.002852,9,4520
"169","Zea mays",-76.25,20.9,1,4427
"170","Zea mays",-75.729414,20.676748,8,4520
"171","Zea mays",-76.21666667,20.3,8,3211
"172","Zea mays",-70.5,19.18333333,11,2933
"173","Zea mays",-99.223726,24.015674,8,3690
"174","Zea mays",-86.006718,12.994002,9,3191
"175","Zea mays",-89.997599,13.735749,8,3763
"176","Zea mays",-97.113749,20.474435,9,2822
"177","Zea mays",-73.280557,8.444639,9,3433
"178","Zea mays",-97.699529,21.320028,9,3922
"179","Zea mays",-82.910317,9.783843,NA,4287
"180","Zea mays",-84.265743,10.44895,5,4896
"181","Zea mays",-82.929368,9.54934,5,3193
"182","Zea mays",-83.25,9,5,3961
"183","Zea mays",-84.478768,10.36278788,5,2884
"184","Zea mays",-84.483438,10.403208,5,4896
"185","Zea mays",-84.266936,10.447642,5,2884
"186","Zea mays",-85.012096,10.883452,5,4896
"187","Zea mays",-85.009845,10.885181,5,4896
"188","Zea mays",-85.012907,10.91985,8,4896
"189","Zea mays",-85.612105,10.27709,11,3175
"190","Zea mays",-84.952374,10.432058,9,3001
"191","Zea mays",-80,22.25,11,3455
"192","Zea mays",-85.055372,10.350013,9,3001
"193","Zea mays",-85.230851,10.672685,2,7523
"194","Zea mays",-85.603295,11.214891,8,3373
"195","Zea mays",-85.428923,10.191279,8,3929
"196","Zea mays",-85.463114,10.031467,8,3929
"197","Zea mays",-85.460772,10.032973,8,3929
"198","Zea mays",-85.463114,10.031467,8,3929
"199","Zea mays",-83.304159,9.188017,5,2884
"200","Zea mays",-83.73333333,22.41666667,6,2543
"201","Zea mays",-85.439086,10.151686,8,3929
"202","Zea mays",-85.507987,10.112727,8,3929
"203","Zea mays",-85.476791,10.188492,8,3929
"204","Zea mays",-89.54248,13.753858,2,4858
"205","Zea mays",-89.54248,13.753858,2,4858
"206","Zea mays",-89.54248,13.753858,2,4858
"207","Zea mays",-89.867062,13.66216,8,3763
"208","Zea mays",-76.25,20.9,1,4427
"209","Zea mays",-88.802349,13.448614,2,4858
"210","Zea mays",-76.38333333,20.73333333,9,4520
"211","Zea mays",-87.135874,13.173019,8,3295
"212","Zea mays",-86.088789,14.744943,11,4102
"213","Zea mays",-85.937304,14.793053,8,4102
"214","Zea mays",-61.63,12.2,9,4411
"215","Zea mays",-81.18333333,8.133333333,5,3040
"216","Zea mays",-80.531579,8.327238,7,3028
"217","Zea mays",-82.71666667,8.583333333,2,7523
"218","Zea mays",-80.48333333,7.966666667,5,3040
"219","Zea mays",-79.1,9.166666667,5,4287
"220","Zea mays",-78.978395,9.215315,11,4287
"221","Zea mays",-80.258465,8.40745,8,3660
"222","Zea mays",-80.258465,8.40745,8,3660
"223","Zea mays",-76.95,20.96666667,9,4520
"224","Zea mays",-76.43333333,20.38333333,9,3591
"225","Zea mays",-76.21666667,20.3,8,3211
"226","Zea mays",-76.21666667,20.3,8,3211
"227","Zea mays",-61.350975,16.319743,8,4520
"228","Zea mays",-66.299774,18.18164,9,2726
"229","Zea mays",-65.741368,18.190513,9,3651
"230","Zea mays",-70.5,19.18333333,11,2933
"231","Zea mays",-98.905924,21.544818,9,3820
"232","Zea mays",-70.488525,19.354584,8,2933
"233","Zea mays",-70.5,19.18333333,11,2933
"234","Zea mays",-61.399664,10.642774,5,5928
"235","Zea mays",-96.354444,19.344444,9,2822
"236","Zea mays",-61.46,10.71,5,5928
"237","Zea mays",-61.26624,10.548746,5,5532
"238","Zea mays",-61.249153,10.502186,5,5532
"239","Zea mays",-61.249153,10.502186,5,5532
"240","Zea mays",-61.249153,10.502186,5,5532
"241","Zea mays",-47.71666667,-23.11666667,4,1888
"242","Zea mays",-49.094245,-26.495538,5,3073
"243","Zea mays",-49.68333333,-28.93333333,5,3073
"244","Zea mays",-97.382222,20.43027778,9,3922
"245","Zea mays",-49.457185,-28.920044,5,3073
"246","Zea mays",-49.381378,-21.070066,8,1404
"247","Zea mays",-47.56666667,-22.43333333,4,1888
"248","Zea mays",-49.15,-20.96666667,8,1404
"249","Zea mays",-47.937215,-22.537739,12,901
"250","Zea mays",-48.46666667,-20.93333333,8,1404
"251","Zea mays",-46.852271,-22.437301,4,1888
"252","Zea mays",-48.92991,-20.756582,8,1404
"253","Zea mays",-50.83333333,-21.78333333,8,1404
"254","Zea mays",-97.129731,20.547635,9,2822
"255","Zea mays",-47.71666667,-23.11666667,4,1888
"256","Zea mays",-50.202062,-22.437175,1,4609
"257","Zea mays",-47.9,-22.01666667,1,4609
"258","Zea mays",-56.771095,-9.151427,2,3715
"259","Zea mays",-39.1086,-12.651497,2,3908
"260","Zea mays",-92.081027,14.857059,2,6326
"261","Zea mays",-89.31613,19.841513,8,4256
"262","Zea mays",-89.963493,14.94666,9,4018
"263","Zea mays",-89.55,14.78333333,8,4411
"264","Zea mays",-90.487282,15.092398,11,3333
"265","Zea mays",-89.438894,14.624426,9,3191
"266","Zea mays",-49.33333333,-24.11666667,3,4368
"267","Zea mays",-90.868418,14.112458,11,3269
"268","Zea mays",-76.43333333,20.38333333,9,3591
"269","Zea mays",-46.93333333,-22.45,1,4817
"270","Zea mays",-49.457185,-28.920044,5,3073
"271","Zea mays",-54.409057,-28.290932,2,5304
"272","Zea mays",-97.61666667,16.11666667,11,4049
"273","Zea mays",-98.026611,16.343416,8,4049
"274","Zea mays",-98.026611,16.343416,8,4049
"275","Zea mays",-98.136052,16.539657,8,4049
"276","Zea mays",-97.95,17.03333333,8,3250
"277","Zea mays",-96.48333333,15.71666667,11,2653
"278","Zea mays",-96.3,15.78333333,11,2653
"279","Zea mays",-49.825724,-22.232837,1,1404
"280","Zea mays",-49.21666667,-20.93333333,8,1404
"281","Zea mays",-50.010906,-20.404622,1,4609
"282","Zea mays",-105.2166667,21.1,8,3932
"283","Zea mays",-105.2166667,21.1,8,3932
"284","Zea mays",-105.1666667,21.2,NA,3932
"285","Zea mays",-105.1833333,20.81666667,8,3932
"286","Zea mays",-105.1833333,20.81666667,8,3932
"287","Zea mays",-39.21666667,-12.43333333,8,2977
"288","Zea mays",-104.915301,21.232846,11,2540
"289","Zea mays",-105.3333333,22.65,9,2827
"290","Zea mays",-105.3333333,22.65,9,2827
"291","Zea mays",-105.3333333,22.65,9,2827
"292","Zea mays",-106.44719,23.365893,8,2220
"293","Zea mays",-106.303401,23.201203,11,2359
"294","Zea mays",-107.2166667,24.71666667,8,1825
"295","Zea mays",-107.562256,25.408895,8,3439
"296","Zea mays",-36.6,-10.28333333,3,3360
"297","Zea mays",-108.639475,26.421574,8,1956
"298","Zea mays",-108.6333333,26.63333333,8,1956
"299","Zea mays",-108.2333333,25.81666667,8,1956
"300","Zea mays",-106.983531,24.97268,8,3439
"301","Zea mays",-109.3,28.11666667,8,1998
"302","Zea mays",-108.931234,28.353628,8,1783
"303","Zea mays",-47.63333333,-22.71666667,4,1888
"304","Zea mays",-48.806462,-22.625913,1,5304
"305","Zea mays",-97.505195,20.998948,9,2822
"306","Zea mays",-47.9,-22.01666667,1,4609
"307","Zea mays",-49.75,-21.66666667,11,2790
"308","Zea mays",-50.268661,-21.350258,8,1404
"309","Zea mays",-89.513671,14.885899,8,4411
"310","Zea mays",-89.55,14.783333,8,4411
"311","Zea mays",-48.302538,-22.084753,11,2221
"312","Zea mays",-67.591402,9.772503,4,5928
"313","Zea mays",-68.177883,10.109421,4,5928
"314","Zea mays",-65.330006,9.366825,5,5220
"315","Zea mays",-72.453725,7.827287,8,3019
"316","Zea mays",-65.330006,9.366825,5,5220
"317","Zea mays",-70.556081,8.267071,11,4385
"318","Zea mays",-72.643105,7.617716,5,5598
"319","Zea mays",-70.306586,7.488302,9,3792
"320","Zea mays",-68.54864,7.527035,9,3792
"321","Zea mays",-92.659404,15.332888,8,3763
"322","Zea mays",-100.5166667,18.23333333,8,3386
"323","Zea mays",-99.01666667,23.3,9,3690
"324","Zea mays",-96.87,20.32,9,2822
"325","Zea mays",-98.46634,16.504784,1,2905
"326","Zea mays",-80.41666667,7.916666667,5,3040
"327","Zea mays",-62.994159,-17.82886,12,1890
"328","Zea mays",-64.432761,-18.046032,8,2977
"329","Zea mays",-63.668474,-21.951237,11,4255
"330","Zea mays",-97.030722,20.385828,9,2822
"331","Zea mays",-67.28333333,9.616666667,4,5928
"332","Zea mays",-64.25,8.916666667,5,1591
"333","Zea mays",-64.25,8.916666667,5,1591
"334","Zea mays",-67.043056,9.379051,5,5079
"335","Zea mays",-72.76796,9.405125,9,2457
"336","Zea mays",-97.33333333,20.46666667,9,3922
"337","Zea mays",-59.692253,-32.310879,9,2916
"338","Zea mays",-66.303177,-30.377406,8,1112
"339","Zea mays",-97.114806,20.433609,9,2822
"340","Zea mays",-64.786746,17.737032,9,3716
"341","Zea mays",-92.643647,15.323565,8,3763
"342","Zea mays",-92.659404,15.332888,8,3763
"343","Zea mays",-99.31666667,18.61666667,9,2546
"344","Zea mays",-99.1,18.98333333,2,5391
"345","Zea mays",-93,16.71666667,8,3168
"346","Zea mays",-61.910948,8.018782,2,3649
"347","Zea mays",-97.334715,20.511547,9,3922
"348","Zea mays",-97.27305556,20.5422222,9,3922
"349","Zea mays",-92.712153,16.606885,9,3168
"350","Zea mays",-100.69796,18.300591,8,3386
"351","Zea mays",-102.373599,19.08164,9,5874
"352","Zea mays",-105.2166667,21.95,8,3932
"353","Zea mays",-105.22623,22.024349,8,2220
"354","Zea mays",-105.5333333,22.36666667,11,3415
"355","Zea mays",-94.601906,16.580327,11,2696
"356","Zea mays",-86.91666667,20.51666667,12,2792
"357","Zea mays",-97.343051,20.471501,9,3922
"358","Zea mays",-98.905924,21.544818,9,3820
"359","Zea mays",-99.481609,24.25333,8,2258
"360","Zea mays",-99.48333333,24.26666667,8,2258
"361","Zea mays",-97.382222,20.43027778,9,3922
"362","Zea mays",-97.382222,20.43027778,9,3922
"363","Zea mays",-92.25,14.9,2,6326
"364","Zea mays",-102.373599,19.08164,9,5874
"365","Zea mays",-102.373599,19.08164,9,5874
"366","Zea mays",-99.36666667,18.71666667,9,2546
"367","Zea mays",-105.382959,21.993057,8,2220
"368","Zea mays",-105.382959,21.993057,8,2220
"369","Zea mays",-56.88333333,-23.4,9,2317
"370","Zea mays",-62.028567,9.101847,11,4479
"371","Zea mays",-99.634229,21.83299,9,3072
"372","Zea mays",-99.653771,22.023366,9,2258
"373","Zea mays",-101.2833333,17.53333333,8,2933
"374","Zea mays",-95.13333333,17.88333333,5,5325
"375","Zea mays",-86.91666667,20.51666667,12,2792
"376","Zea mays",-89.633331,20.250295,8,4256
"377","Zea mays",-89.63333333,20.96666667,8,4520
