"","sp","lon","lat","sol","sol_Hi","sol_Lo","sol_Mo","sol_VL","tot","lab","org","occ","sec","apa","stp10","stp100","stp20","stp30","PBR1","PBR2","PHO1","PHO2","PMEH1","PMEH2","PNZ1","PNZ2","POL1","POL2","TP1","TP2","NPlim","ext_P20"
"1","Zea mays",-96.87067,19.938631,8,0,0,100,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,794.583374023438,717.886108398438,795.179992675781,761.795593261719,289,28,200,NA,719,230,4727,5387,650,199,700,600,NA,NA
"2","Zea mays",-99.634229,21.83299,9,0,30,70,0,321.88916015625,39.7714767456055,130.869049072266,73.3134765625,23.0836601257324,54.8514785766602,1138.53674316406,981.948181152344,1075.21154785156,999.770812988281,1731,NA,NA,NA,NA,NA,3072,4551,NA,NA,NA,NA,-0.479059994220734,NA
"3","Zea mays",-99.653771,22.023366,9,0,30,70,0,297.140411376953,15.6047353744507,55.663459777832,130.878677368164,13.0387334823608,81.9548187255859,1196.09399414062,1057.59973144531,1163.314453125,1074.67309570312,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,-0.461640000343323,NA
"4","Zea mays",-89.732539,20.485433,8,0,0,100,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,907.798583984375,800.458557128906,843.005554199219,817.252258300781,533,14,NA,NA,1217,327,4256,4311,634,NA,600,600,NA,NA
"5","Zea mays",-97.382255,20.969048,9,0,30,70,0,272.378723144531,14.7784519195557,33.163631439209,128.60920715332,16.709020614624,79.1183776855469,514.703247070312,456.280578613281,481.724822998047,470.720886230469,797,65,NA,NA,1293,538,2822,2659,906,NA,600,400,NA,NA
"6","Zea mays",-57.309104,-23.267981,9,10,0,70,20,532.376647949219,45.5482559204102,25.6855068206787,91.970458984375,30.4540405273438,338.718353271484,279.608093261719,254.855712890625,268.261993408203,270.28271484375,1041,397,NA,NA,NA,NA,2902,3359,NA,NA,400,300,NA,NA
"7","Zea mays",-62.46666667,8.433333333,9,10,20,50,20,545.81201171875,58.8752288818359,83.1131286621094,117.754028320312,28.8031044006348,257.266479492188,366.094299316406,333.712219238281,341.283416748047,339.982330322266,2016,379,400,25,1983,172,3792,3786,NA,NA,700,400,NA,NA
"8","Zea mays",-74.91666667,3.85,8,0,0,100,0,321.88916015625,39.7714767456055,130.869049072266,73.3134765625,23.0836601257324,54.8514785766602,1057.34460449219,892.70166015625,982.858825683594,913.898742675781,2324,166,3200,1200,2976,288,1741,2028,871,153,500,400,-0.374489992856979,NA
"9","Zea mays",-88.05,19.58333333,8,0,0,100,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,947.126770019531,843.870422363281,889.915649414062,859.645629882812,568,90,200,NA,294,18,4520,5590,523,178,700,500,NA,NA
"10","Zea mays",-97.382222,20.43027778,9,0,50,50,0,867.736206054688,47.0807609558105,105.651748657227,409.719512939453,53.2311134338379,252.05305480957,812.567199707031,800.321472167969,795.036071777344,816.016723632812,346,105,44,100,888,195,3922,4517,560,82,700,400,NA,NA
"11","Zea mays",-92.564373,16.332904,8,0,20,80,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,946.222778320312,846.053527832031,887.623474121094,852.964782714844,533,50,700,NA,1317,269,4043,3907,532,186,500,600,NA,NA
